2025-10-08 09:24:50,348 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='INFY 28 OCT 1480 CALL', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 09:25:02,804 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='INFY', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 09:25:05,450 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='INFY 28 OCT 1480 CALL', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 09:25:17,680 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='INFY', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 09:25:20,006 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='INFY 28 OCT 1480 CALL', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 09:25:31,814 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='INFY', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 09:25:34,142 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='INFY 28 OCT 1480 CALL', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 09:25:45,949 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='INFY', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 09:25:48,622 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='INFY 28 OCT 1480 CALL', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 09:26:01,005 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='INFY', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 09:26:03,556 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='INFY 28 OCT 1480 CALL', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 09:26:15,657 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='INFY', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 09:26:17,963 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='INFY 28 OCT 1480 CALL', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 10:20:24,370 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='INFY', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 10:20:24,371 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TCS', exchange='NSE', timeframe='1') - Queue size after add: 2, Max allowed: 5
2025-10-08 10:20:24,372 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='LTIM', exchange='NSE', timeframe='1') - Queue size after add: 3, Max allowed: 5
2025-10-08 10:20:24,373 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='HCLTECH', exchange='NSE', timeframe='1') - Queue size after add: 4, Max allowed: 5
2025-10-08 10:20:24,374 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TECHM', exchange='NSE', timeframe='1') - Queue size after add: 5, Max allowed: 5
2025-10-08 10:20:29,732 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TITAN', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 10:20:29,734 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='HAVELLS', exchange='NSE', timeframe='1') - Queue size after add: 2, Max allowed: 5
2025-10-08 10:20:29,738 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='DIVISLAB', exchange='NSE', timeframe='1') - Queue size after add: 3, Max allowed: 5
2025-10-08 10:20:29,780 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='MARUTI', exchange='NSE', timeframe='1') - Queue size after add: 4, Max allowed: 5
2025-10-08 10:20:30,069 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='BHARTIARTL', exchange='NSE', timeframe='1') - Queue size after add: 5, Max allowed: 5
2025-10-08 10:20:34,420 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='PHOENIXLTD', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 10:20:34,421 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='DLF', exchange='NSE', timeframe='1') - Queue size after add: 2, Max allowed: 5
2025-10-08 10:20:34,422 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='LODHA', exchange='NSE', timeframe='1') - Queue size after add: 3, Max allowed: 5
2025-10-08 10:20:34,422 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='INDIANB', exchange='NSE', timeframe='1') - Queue size after add: 4, Max allowed: 5
2025-10-08 10:20:34,422 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='SBIN', exchange='NSE', timeframe='1') - Queue size after add: 5, Max allowed: 5
2025-10-08 10:20:39,336 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TATACONSUM', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 10:20:39,336 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='PATANJALI', exchange='NSE', timeframe='1') - Queue size after add: 2, Max allowed: 5
2025-10-08 10:20:39,338 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='EICHERMOT', exchange='NSE', timeframe='1') - Queue size after add: 3, Max allowed: 5
2025-10-08 10:21:17,669 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='INFY', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 10:21:17,671 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TCS', exchange='NSE', timeframe='1') - Queue size after add: 2, Max allowed: 5
2025-10-08 10:21:17,674 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='LTIM', exchange='NSE', timeframe='1') - Queue size after add: 3, Max allowed: 5
2025-10-08 10:21:17,675 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='HCLTECH', exchange='NSE', timeframe='1') - Queue size after add: 4, Max allowed: 5
